slot_name,slot_value,total,train,validation,test
对象,面发光氛围灯,2,2,0,0
对象,顶屏幕,2,1,1,0
对象,顶棚屏,2,2,0,0
对象,颈枕,2,2,0,0
对象,颈部,2,2,0,0
对象,风空调,2,2,0,0
对象,香氛系统,2,1,1,0
对象功能,主动,2,1,1,0
对象功能,低速报警音,2,2,0,0
对象功能,低速行人报警设备,2,2,0,0
对象功能,低速行驶提示音,2,2,0,0
对象功能,低速警示音,2,1,0,1
对象功能,使用权限,2,2,0,0
对象功能,倒车后视镜下翻,2,2,0,0
对象功能,出风,2,2,0,0
对象功能,右出风口,2,2,0,0
对象功能,吹风模式,2,2,0,0
对象功能,回家照明,2,2,0,0
对象功能,回家照明延时,2,1,0,1
对象功能,安全提示音,2,2,0,0
对象功能,座椅声场优化,2,1,1,0
对象功能,延时断电,2,2,0,0
对象功能,弯路照明,2,1,1,0
对象功能,弯道照明,2,2,0,0
对象功能,录像锁定,2,2,0,0
对象功能,微升微降,2,2,0,0
对象功能,慢充,2,2,0,0
对象功能,报警提示音音量,2,2,0,0
对象功能,抬直,2,2,0,0
对象功能,日出日落,2,1,1,0
对象功能,智能表面,2,2,0,0
对象功能,智能解锁,2,2,0,0
对象功能,滑移,2,1,0,1
对象功能,热,2,2,0,0
对象功能,电动吹风口,2,2,0,0
对象功能,短升短降,2,2,0,0
对象功能,离车自动落锁,2,2,0,0
对象功能,窗子的短升短降,2,2,0,0
对象功能,等离子,2,1,0,1
对象功能,肩部,2,1,1,0
对象功能,肩部位置,2,1,1,0
对象功能,行车自动关门,2,2,0,0
对象功能,行车闭锁,2,2,0,0
对象功能,观影角度,2,1,1,0
对象功能,负离子净化,2,2,0,0
对象功能,车模,2,2,0,0
对象功能,车速自动关窗,2,2,0,0
对象功能,转向支撑,2,1,1,0
对象功能,透透气,2,0,2,0
对象功能,锁车反馈,2,2,0,0
对象功能,除霜加热,2,2,0,0
对象功能,除霜模式,2,2,0,0
对象功能,随动座椅,2,2,0,0
对象功能,音场优化,2,2,0,0
对象功能,风窗加热,2,2,0,0
序列号,上一个,2,2,0,0
序列号,下一个,2,2,0,0
座椅记忆位置,位置一,2,1,1,0
操作,下降点,2,2,0,0
操作,不要,2,2,0,0
操作,不需要,2,2,0,0
操作,保存,2,2,0,0
操作,停掉,2,1,0,1
操作,停用,2,2,0,0
操作,充,2,2,0,0
操作,关起来,2,2,0,0
操作,关闭关闭,2,2,0,0
操作,切到,2,1,0,1
操作,加载,2,2,0,0
操作,动,2,2,0,0
操作,变为,2,2,0,0
操作,变成,2,1,0,1
操作,可以关了,2,2,0,0
操作,合拢,2,1,1,0
操作,开着,2,1,0,1
操作,打打开,2,2,0,0
操作,抬,2,2,0,0
操作,按,2,2,0,0
操作,换一下,2,2,0,0
操作,换一个,2,2,0,0
操作,收起,2,2,0,0
操作,显示,2,1,1,0
操作,更改一下,2,2,0,0
操作,熄灭,2,2,0,0
操作,空,2,2,0,0
操作,结束,2,1,0,1
操作,翘起,2,2,0,0
操作,落锁,2,0,1,1
操作,设置为关闭,2,2,0,0
操作,调低,2,2,0,0
操作,调节至,2,2,0,0
操作,转到,2,2,0,0
操作,转变为,2,2,0,0
操作,还原,2,2,0,0
操作,进行,2,2,0,0
操作,锁定,2,2,0,0
操作,降下来,2,2,0,0
操作,需要,2,2,0,0
方向偏移量,10%,2,2,0,0
方向偏移量,100,2,2,0,0
方向偏移量,调到最长,2,2,0,0
方向偏移量,顶,2,2,0,0
模式,AUTO,2,1,0,1
模式,个性化,2,2,0,0
模式,共享,2,2,0,0
模式,冷气,2,2,0,0
模式,厚重,2,2,0,0
模式,岩石,2,2,0,0
模式,心跳,2,2,0,0
模式,扫风,2,2,0,0
模式,智能关闭,2,2,0,0
模式,柔和,2,2,0,0
模式,泥泞模式,2,2,0,0
模式,红酒,2,2,0,0
模式,纯电,2,2,0,0
模式,维修位置,2,2,0,0
模式,脊柱,2,0,1,1
模式,脊柱松弛,2,2,0,0
模式,自,2,2,0,0
模式,自动循环,2,1,1,0
模式,自动控速,2,2,0,0
模式,自定义,2,1,1,0
模式,自由,2,1,0,1
模式,自由风,2,2,0,0
模式,自适应出风,2,2,0,0
模式,舒享模式式,2,2,0,0
模式,轻便,2,2,0,0
模式,轻柔,2,1,1,0
模式,适中,2,2,0,0
模式,避开,2,2,0,0
模式,静态,2,2,0,0
调节内容,倾斜角度,2,2,0,0
调节内容,充电量,2,2,0,0
调节内容,力度,2,2,0,0
调节内容,声音来源,2,2,0,0
调节内容,开合度,2,2,0,0
调节内容,档位,2,2,0,0
调节内容,浓度档位,2,2,0,0
调节内容,空调风量,2,1,1,0
调节内容,舒适度挡位,2,2,0,0
调节内容,舒适度曲线,2,2,0,0
调节内容,间歇挡位,2,1,1,0
身体位置,小腿,2,1,1,0
身体位置,腰部,2,2,0,0
车内灯类型,心跳氛围灯,2,2,0,0
车内灯类型,星空顶棚,2,2,0,0
车内灯类型,照明灯,2,2,0,0
车内灯类型,装饰灯,2,1,1,0
车内灯类型,轮廓灯,2,1,0,1
车内灯类型,面发光氛围灯,2,2,0,0
车外灯类型,日间行车灯,2,2,0,0
车外灯类型,照灯,2,2,0,0
车外灯类型,车大灯,2,1,0,1
车机模块,报警音,2,2,0,0
音效,蜂鸣模式,2,2,0,0
页面,控制页面,2,2,0,0
页面,菜单,2,1,1,0
页面,调节页面,2,2,0,0
页面,键,2,1,0,1
value,+3,1,1,0,0
value,-1/3,1,1,0,0
value,-20/100,1,1,0,0
value,1,1,1,0,0
value,10,1,1,0,0
value,10分钟,1,1,0,0
value,10千米每小时,1,1,0,0
value,1千米每小时,1,1,0,0
value,1小时,1,1,0,0
value,1挡,1,1,0,0
value,1级,1,1,0,0
value,2,1,1,0,0
value,20千米,1,0,1,0
value,20度,1,1,0,0
value,2级,1,1,0,0
value,30千米每秒,1,1,0,0
value,38度,1,1,0,0
value,3小时2分钟,1,1,0,0
value,3挡,1,1,0,0
value,3档,1,1,0,0
value,3秒,1,1,0,0
value,40,1,1,0,0
value,4挡,1,1,0,0
value,5,1,1,0,0
value,5挡,1,1,0,0
value,5档,1,1,0,0
value,60秒,1,1,0,0
value,8,1,1,0,0
value,80千米每小时,1,1,0,0
value,90,1,1,0,0
value,this,1,1,0,0
value,一条缝,1,1,0,0
value,七挡,1,1,0,0
value,三,1,1,0,0
value,三二,1,1,0,0
value,三分之二,1,1,0,0
value,三十,1,0,0,1
value,上升,1,0,1,0
value,下降二十五档,1,1,0,0
value,不够靠前,1,0,0,1
value,不够高,1,1,0,0
value,不朝脚部出风,1,1,0,0
value,不要吹到脚上,1,1,0,0
value,不要吹我,1,1,0,0
value,不要吹窗,1,0,1,0
value,不要对我吹,1,1,0,0
value,不要对着人吹,1,1,0,0
value,不要对面吹,1,1,0,0
value,两个半小时,1,1,0,0
value,两分钟,1,1,0,0
value,中速,1,1,0,0
value,中间值,1,1,0,0
value,中间挡位,1,1,0,0
value,主驾,1,1,0,0
value,二十,1,1,0,0
value,二十一点五,1,1,0,0
value,二十七点五度,1,1,0,0
value,二十三,1,1,0,0
value,二十二摄氏度,1,0,1,0
value,二十分钟,1,0,0,1
value,二十四摄氏度,1,1,0,0
value,二十挡,1,1,0,0
value,二点五小时,1,1,0,0
value,五分之一,1,1,0,0
value,五秒钟,1,1,0,0
value,亮一点,1,1,0,0
value,亮度太低了为我调亮点,1,1,0,0
value,亮蓝色,1,1,0,0
value,仅警示,1,0,0,1
value,仅重拨,1,1,0,0
value,伸长,1,1,0,0
value,低一些,1,1,0,0
value,低一档,1,1,0,0
value,低一点点,1,0,0,1
value,低浓度,1,1,0,0
value,低速,1,1,0,0
value,低速挡,1,1,0,0
value,低音量,1,1,0,0
value,偏硬,1,1,0,0
value,全不透明,1,1,0,0
value,全关,1,0,0,1
value,全开,1,1,0,0
value,全透,1,1,0,0
value,全黑,1,0,1,0
value,关小点儿,1,1,0,0
value,关闭,1,0,1,0
value,内,1,1,0,0
value,再大一点,1,1,0,0
value,冷一点,1,1,0,0
value,冷一点点,1,1,0,0
value,减小百分之30,1,1,0,0
value,减少0.5度,1,1,0,0
value,减弱,1,1,0,0
value,减慢,1,1,0,0
value,切换为最低挡,1,1,0,0
value,切换为最大,1,1,0,0
value,切换最低档,1,1,0,0
value,别吹我脸,1,1,0,0
value,到前面,1,0,1,0
value,到最下,1,1,0,0
value,到最亮,1,1,0,0
value,到最后边,1,0,0,1
value,到最高,1,1,0,0
value,到车后面,1,1,0,0
value,副驾,1,1,0,0
value,加热二挡,1,1,0,0
value,十七,1,1,0,0
value,十六挡,1,1,0,0
value,十分钟,1,1,0,0
value,十千米每小时,1,0,1,0
value,升一点,1,1,0,0
value,升到最高,1,1,0,0
value,升温1度,1,1,0,0
value,升温两度,1,1,0,0
value,升起,1,1,0,0
value,升高1级,1,1,0,0
value,升高一,1,1,0,0
value,升高一个档位,1,1,0,0
value,升高四度,1,1,0,0
value,半分钟,1,1,0,0
value,单次,1,1,0,0
value,卡其白,1,1,0,0
value,可以上调,1,1,0,0
value,右边,1,1,0,0
value,后排,1,1,0,0
value,向上吹头,1,1,0,0
value,向下来一点,1,1,0,0
value,向下起来一点,1,1,0,0
value,向前一点,1,1,0,0
value,向后一些,1,1,0,0
value,向后座,1,1,0,0
value,向后座位置,1,0,1,0
value,向后面,1,1,0,0
value,向左边,1,1,0,0
value,向着我的头吹,1,1,0,0
value,向驾驶员,1,1,0,0
value,吹下方,1,0,1,0
value,吹前面和脚,1,1,0,0
value,吹头和下方,1,1,0,0
value,吹窗,1,0,0,1
value,吹腹,1,1,0,0
value,吹车窗,1,1,0,0
value,吹面,1,1,0,0
value,吹面吹足,1,1,0,0
value,吹面和脚,1,1,0,0
value,在大一些,1,1,0,0
value,增加,1,1,0,0
value,增加到最大,1,1,0,0
value,增大点,1,1,0,0
value,声音,1,1,0,0
value,声音加震动,1,0,1,0
value,外,1,1,0,0
value,大一挡,1,1,0,0
value,太低,1,1,0,0
value,太低了,1,1,0,0
value,太冷了,1,1,0,0
value,太弱了,1,1,0,0
value,太往上,1,1,0,0
value,太往上了,1,1,0,0
value,太往后,1,1,0,0
value,太往后了,1,1,0,0
value,太昏暗,1,1,0,0
value,太热了,1,1,0,0
value,太紧,1,0,1,0
value,太紧了,1,1,0,0
value,太长了,1,1,0,0
value,太靠前了,1,1,0,0
value,太靠后了,1,1,0,0
value,实在太高了,1,1,0,0
value,对人吹模式,1,1,0,0
value,对着人和前方吹,1,1,0,0
value,对着我脸吹,1,1,0,0
value,小一些,1,0,1,0
value,小声,1,1,0,0
value,小点,1,1,0,0
value,小点儿声,1,1,0,0
value,尤其低,1,1,0,0
value,左右循环模式,1,1,0,0
value,左右扫风模式,1,1,0,0
value,左后视角,1,1,0,0
value,底,1,0,0,1
value,座,1,0,1,0
value,开大,1,1,0,0
value,开小,1,0,0,1
value,开小一档,1,1,0,0
value,开得有点高,1,1,0,0
value,往上点,1,1,0,0
value,往低下动,1,1,0,0
value,往内,1,1,0,0
value,往前些,1,1,0,0
value,往前伸,1,0,0,1
value,往右,1,1,0,0
value,往右吹,1,1,0,0
value,往后些,1,0,0,1
value,往后去,1,1,0,0
value,往左吹,1,1,0,0
value,往左点,1,1,0,0
value,往高移,1,1,0,0
value,快,1,1,0,0
value,快一点,1,0,0,1
value,感觉开的有点大,1,1,0,0
value,慢一点,1,1,0,0
value,慢点,1,1,0,0
value,打开二,1,1,0,0
value,打开更多,1,1,0,0
value,抬高一点,1,1,0,0
value,提升10%,1,1,0,0
value,提高一度,1,1,0,0
value,摇四分之一下来,1,1,0,0
value,摇四分之三下来,1,1,0,0
value,改为2,1,1,0,0
value,整体往低下些,1,1,0,0
value,整体往低点,1,1,0,0
value,整体往低走,1,1,0,0
value,整体往高上些,1,1,0,0
value,整体往高上移动,1,1,0,0
value,暖一点,1,1,0,0
value,暗10%,1,1,0,0
value,暗百分之十,1,1,0,0
value,更大,1,1,0,0
value,更清晰,1,1,0,0
value,更紧些,1,1,0,0
value,最上面,1,1,0,0
value,最低挡,1,1,0,0
value,最冷的效果,1,0,0,1
value,最凉,1,1,0,0
value,最大挡,1,1,0,0
value,最大挡位,1,0,0,1
value,最大档,1,1,0,0
value,最热,1,1,0,0
value,最短,1,1,0,0
value,最轻,1,1,0,0
value,最轻柔,1,1,0,0
value,有点儿矮,1,1,0,0
value,有点冷,1,1,0,0
value,有点前了,1,1,0,0
value,有点热,1,1,0,0
value,朝副驾,1,1,0,0
value,朝右手边,1,0,1,0
value,朝左边,1,1,0,0
value,朝车后面,1,1,0,0
value,本次,1,0,0,1
value,柔肤色,1,0,1,0
value,正对人和前方吹,1,1,0,0
value,每小时60公里,1,1,0,0
value,活力橙,1,1,0,0
value,浓度调低一点,1,1,0,0
value,浓度调太高,1,0,1,0
value,淡,1,1,0,0
value,淡雅,1,1,0,0
value,淡香挡位,1,1,0,0
value,淡黄色,1,1,0,0
value,混动,1,1,0,0
value,温度太低了,1,1,0,0
value,温度太高了,1,1,0,0
value,温度往下调一下,1,1,0,0
value,温度调高,1,0,0,1
value,灯,1,0,1,0
value,灯光鸣笛,1,1,0,0
value,烫手,1,1,0,0
value,玫红色,1,0,0,1
value,白光,1,1,0,0
value,白色,1,1,0,0
value,百,1,1,0,0
value,百分三十,1,1,0,0
value,百分之一,1,1,0,0
value,百分之七十,1,0,0,1
value,百分之二三十,1,0,1,0
value,百分之六十点儿三,1,1,0,0
value,百分之十,1,1,0,0
value,百分之十八,1,1,0,0
value,百分之四十,1,0,1,0
value,百分之零,1,1,0,0
value,直面吹风,1,1,0,0
value,短一点,1,0,0,1
value,离车,1,1,0,0
value,离车加上车,1,1,0,0
value,稍微亮,1,1,0,0
value,稍微小一点点,1,1,0,0
value,稍暗,1,1,0,0
value,第二挡,1,1,0,0
value,给我加,1,0,0,1
value,缩小,1,1,0,0
value,缩小一点,1,1,0,0
value,自动扫风,1,1,0,0
value,至右边,1,1,0,0
value,节庆红,1,1,0,0
value,荧光白,1,1,0,0
value,蒂芙尼蓝,1,1,0,0
value,蓝色浅一点,1,1,0,0
value,行星视角,1,1,0,0
value,警示,1,0,0,1
value,设为3挡,1,1,0,0
value,设为最亮,1,1,0,0
value,设为较亮,1,1,0,0
value,设定为较低,1,1,0,0
value,设得实在太靠后了,1,0,0,1
value,设得实在太靠后面了,1,1,0,0
value,设置为5,1,1,0,0
value,设置得实在有点太靠后面了,1,1,0,0
value,设置成负六度,1,0,1,0
value,调为30,1,1,0,0
value,调为亮,1,1,0,0
value,调亮天窗10%,1,1,0,0
value,调低3,1,1,0,0
value,调低30%,1,1,0,0
value,调低5档,1,1,0,0
value,调低一,1,0,1,0
value,调低一点五,1,0,0,1
value,调低两,1,1,0,0
value,调低天窗防晒等级3档,1,1,0,0
value,调到2,1,0,1,0
value,调到8%,1,1,0,0
value,调到三挡,1,1,0,0
value,调到二十二度,1,0,1,0
value,调到二挡,1,1,0,0
value,调到五挡,1,1,0,0
value,调到十档,1,1,0,0
value,调到微,1,1,0,0
value,调到最暗,1,1,0,0
value,调到最顶,1,1,0,0
value,调到百分之三,1,1,0,0
value,调到百分之负一,1,1,0,0
value,调到稍亮,1,1,0,0
value,调到较亮,1,1,0,0
value,调升一点,1,1,0,0
value,调后一点,1,1,0,0
value,调大一些,1,1,0,0
value,调大一挡,1,1,0,0
value,调太下,1,0,1,0
value,调太低了,1,1,0,0
value,调小1格,1,1,0,0
value,调小一点儿,1,1,0,0
value,调整到一点二,1,1,0,0
value,调整到最小,1,1,0,0
value,调整成百分之十,1,1,0,0
value,调暗,1,1,0,0
value,调暗一点,1,0,0,1
value,调暗天幕20%,1,1,0,0
value,调热,1,1,0,0
value,调直一点,1,1,0,0
value,调至2,1,1,0,0
value,调至三级,1,1,0,0
value,调至二十五度,1,1,0,0
value,调节低一点,1,1,0,0
value,调节大一点,1,1,0,0
value,调近一点,1,1,0,0
value,调远一挡,1,1,0,0
value,调长几分钟,1,1,0,0
value,调高2,1,1,0,0
value,调高20度,1,0,0,1
value,调高2度,1,1,0,0
value,调高2挡,1,1,0,0
value,调高3,1,0,0,1
value,调高一档,1,0,0,1
value,调高三分之一,1,0,1,0
value,调高两度,1,1,0,0
value,调高两档,1,1,0,0
value,负10,1,1,0,0
value,负10公里每小时,1,1,0,0
value,负五公里每小时,1,1,0,0
value,负百分之三十,1,1,0,0
value,车后面,1,1,0,0
value,车窗百分之三十,1,1,0,0
value,较低,1,1,0,0
value,较早,1,1,0,0
value,近,1,1,0,0
value,透光,1,1,0,0
value,避开人吹,1,1,0,0
value,里,1,1,0,0
value,降,1,1,0,0
value,降一些,1,1,0,0
value,降低1点,1,1,0,0
value,降低3档,1,1,0,0
value,降低一,1,1,0,0
value,降低一个档位,1,1,0,0
value,降低一挡,1,1,0,0
value,降低三档,1,1,0,0
value,降低两格,1,1,0,0
value,降低五分钟,1,1,0,0
value,降低四度,1,0,1,0
value,降低点,1,1,0,0
value,降到最低,1,1,0,0
value,降温,1,1,0,0
value,零下二十,1,1,0,0
value,零度,1,1,0,0
value,震动预警,1,1,0,0
value,非常高,1,0,0,1
value,顶,1,1,0,0
value,预警制动,1,1,0,0
value,额外少,1,1,0,0
value,风对着我吹,1,1,0,0
value,馥郁,1,0,1,0
value,驾驶员,1,1,0,0
value,高2挡,1,1,0,0
value,高四,1,1,0,0
value,高速,1,1,0,0
value,鸣笛,1,1,0,0
value,黄,1,1,0,0
value,黄色,1,1,0,0
位置,一排右的,1,1,0,0
位置,一排左侧,1,1,0,0
位置,一排的那个,1,1,0,0
位置,三排中,1,1,0,0
位置,三排右,1,1,0,0
位置,三排左,1,1,0,0
位置,两个,1,1,0,0
位置,中间,1,1,0,0
位置,主主驾,1,1,0,0
位置,主屏,1,1,0,0
位置,主驾位,1,1,0,0
位置,主驾位置,1,0,0,1
位置,主驾驶座,1,0,0,1
位置,主驾驶方,1,1,0,0
位置,二排右侧,1,1,0,0
位置,二排右边的,1,1,0,0
位置,二排左边,1,1,0,0
位置,从后部将,1,1,0,0
位置,全车的,1,1,0,0
位置,前排右侧这里,1,1,0,0
位置,前排所有,1,1,0,0
位置,前方,1,1,0,0
位置,前窗,1,0,0,1
位置,前面两个,1,0,1,0
位置,前面左侧的,1,1,0,0
位置,副,1,1,0,0
位置,副副驾,1,1,0,0
位置,右侧前方,1,1,0,0
位置,右侧后部,1,1,0,0
位置,右前方,1,1,0,0
位置,右后座,1,1,0,0
位置,右后排,1,1,0,0
位置,右后方,1,0,1,0
位置,右后方的,1,1,0,0
位置,右后边,1,1,0,0
位置,右后门,1,1,0,0
位置,右边的全部,1,1,0,0
位置,后侧两个,1,1,0,0
位置,后后,1,1,0,0
位置,后座,1,1,0,0
位置,后座的,1,1,0,0
位置,后挡风,1,1,0,0
位置,后排两个,1,1,0,0
位置,后排后排,1,1,0,0
位置,后排左侧,1,1,0,0
位置,后排的,1,1,0,0
位置,后方,1,1,0,0
位置,后窗,1,1,0,0
位置,后舱,1,1,0,0
位置,后部,1,1,0,0
位置,女王,1,1,0,0
位置,左中,1,1,0,0
位置,左侧后排,1,1,0,0
位置,左前边,1,1,0,0
位置,左前边的,1,1,0,0
位置,左后左后,1,1,0,0
位置,左后座,1,1,0,0
位置,左后方,1,1,0,0
位置,左边的,1,1,0,0
位置,左边的全部,1,1,0,0
位置,所有所有,1,1,0,0
位置,整车的,1,1,0,0
位置,斜对面,1,1,0,0
位置,正驾驶,1,1,0,0
位置,的所有,1,1,0,0
位置,第一排,1,1,0,0
位置,第二排右边,1,1,0,0
位置,第二排右边的,1,1,0,0
位置,第二排左侧,1,1,0,0
位置,车内所有,1,1,0,0
位置,车前,1,1,0,0
位置,车后,1,1,0,0
位置,驾驶位置,1,1,0,0
位置,驾驶室,1,1,0,0
功能,NCA,1,1,0,0
功能,三六零全景,1,1,0,0
功能,三六零影像,1,1,0,0
功能,下坡行驶辅助,1,1,0,0
功能,下次维修预约的时间是什么时候,1,1,0,0
功能,中距离前向碰撞预警,1,1,0,0
功能,临时停车,1,1,0,0
功能,主动制动设备,1,1,0,0
功能,主动巡航,1,0,1,0
功能,乘员监测系统,1,1,0,0
功能,二氧化碳浓度检测,1,1,0,0
功能,二氧化碳浓度监测,1,1,0,0
功能,交叉路口碰撞预警,1,1,0,0
功能,交通指示灯提醒,1,1,0,0
功能,交通标志识别,1,1,0,0
功能,交通灯提示,1,1,0,0
功能,人脸摄像头,1,1,0,0
功能,什么时候充满电,1,0,0,1
功能,仿真声浪,1,1,0,0
功能,低速制动,1,1,0,0
功能,停车助手,1,1,0,0
功能,儿童危险动作检测,1,1,0,0
功能,全景影像系统,1,0,1,0
功能,全景影视,1,1,0,0
功能,全景模式,1,1,0,0
功能,全景视频,1,1,0,0
功能,冰箱多少度,1,1,0,0
功能,冰箱是在冷藏吗,1,1,0,0
功能,冰箱现在可以冷藏吗,1,1,0,0
功能,前向预碰撞辅助,1,1,0,0
功能,前方侧向交通辅助,1,1,0,0
功能,前横穿侧向预警,1,1,0,0
功能,动力电池包主动保温,1,1,0,0
功能,卫星通讯,1,1,0,0
功能,变道确认,1,1,0,0
功能,右向辅助,1,0,1,0
功能,听音位,1,0,1,0
功能,城市智能领航辅助,1,1,0,0
功能,城市领航辅助功能,1,1,0,0
功能,壁纸桌面,1,1,0,0
功能,夜视系统,1,1,0,0
功能,如何查胎压情况,1,1,0,0
功能,如果我占用了应急车道请提醒我,1,1,0,0
功能,学习泊车,1,1,0,0
功能,定速巡航,1,1,0,0
功能,对负载充电,1,1,0,0
功能,对车供电,1,0,0,1
功能,导航抑制媒体音,1,1,0,0
功能,导航时降低媒体音量,1,0,1,0
功能,巡航辅助,1,0,0,1
功能,应急车道占用提醒,1,1,0,0
功能,座舱主动恒温,1,1,0,0
功能,开机声音开启,1,1,0,0
功能,开机背景声音,1,1,0,0
功能,开机背景音乐,1,0,1,0
功能,开机音乐动画,1,1,0,0
功能,开机音量自适应功能,1,0,0,1
功能,开机音量音量,1,1,0,0
功能,强制保电记忆,1,1,0,0
功能,当前电耗多少,1,1,0,0
功能,当前胎温是多少,1,1,0,0
功能,当前车辆还能行驶多远,1,1,0,0
功能,总行驶里程是多少,1,1,0,0
功能,我要把自适,1,0,0,1
功能,手动变道辅助,1,1,0,0
功能,手势静音,1,1,0,0
功能,手持打电话提醒,1,0,0,1
功能,手机充电,1,0,1,0
功能,打开连接设备,1,0,1,0
功能,报警语音,1,0,1,0
功能,拨杆变道功能,1,1,0,0
功能,插枪保温,1,1,0,0
功能,放电类型为对设备放电,1,1,0,0
功能,方便上车,1,1,0,0
功能,无感进出,1,1,0,0
功能,无线手机充电,1,0,1,0
功能,无线电充,1,1,0,0
功能,显示连接设备,1,1,0,0
功能,智能感光,1,0,0,1
功能,智能驾驶语音播报,1,0,1,0
功能,最近的电耗怎么样,1,1,0,0
功能,来电语音播报模式,1,1,0,0
功能,查一下车内细颗粒物,1,1,0,0
功能,查看一下当前可行驶距离,1,1,0,0
功能,查看小电瓶工作状态,1,1,0,0
功能,查看胎压,1,1,0,0
功能,查询一下当前能耗多少,1,1,0,0
功能,查询剩余里程,1,1,0,0
功能,查询当前能耗,1,1,0,0
功能,查询温度,1,1,0,0
功能,查询滤芯剩余时间,1,1,0,0
功能,查询电耗,1,1,0,0
功能,查询累积能耗,1,1,0,0
功能,查询纯电续航里程,1,1,0,0
功能,查询胎温,1,1,0,0
功能,查询能耗统计,1,1,0,0
功能,查询自动辅助驾驶剩余距离,1,1,0,0
功能,查询车内空气质量,1,1,0,0
功能,查询车况,1,1,0,0
功能,查询车辆总里程,1,0,0,1
功能,模拟一下声浪,1,1,0,0
功能,横穿侧向制动,1,1,0,0
功能,汽车保养时间提醒,1,0,0,1
功能,油耗现在多少,1,0,1,0
功能,泊入车,1,0,0,1
功能,泊出,1,0,1,0
功能,泊车,1,1,0,0
功能,环视摄像头,1,1,0,0
功能,现在电池剩余电量是多少,1,1,0,0
功能,现在轮胎气还足吗,1,1,0,0
功能,现在香氛是啥味道,1,1,0,0
功能,用多少功率充电,1,1,0,0
功能,电池包主动保温,1,1,0,0
功能,电池包插枪保温,1,1,0,0
功能,电池电量还剩多少,1,1,0,0
功能,电量还剩多少,1,1,0,0
功能,疲劳驾驶提醒,1,1,0,0
功能,盲区提醒,1,1,0,0
功能,盲区检测,1,0,0,1
功能,盲区检测预警功能,1,1,0,0
功能,盲区监测,1,0,0,1
功能,盲区监测预警,1,0,1,0
功能,看一下车内温度,1,0,1,0
功能,看看还有多久,1,1,0,0
功能,碰撞安全辅助,1,1,0,0
功能,空气质量检测,1,1,0,0
功能,空气质量监测,1,0,0,1
功能,系统快速启动功能,1,0,0,1
功能,紧急制动,1,1,0,0
功能,紧急转向辅助,1,1,0,0
功能,红绿灯提示,1,1,0,0
功能,红绿灯提醒,1,1,0,0
功能,绕行辅助功能,1,0,0,1
功能,胎压如何,1,1,0,0
功能,胎压正常,1,0,0,1
功能,胎压系统,1,1,0,0
功能,胎温是多少,1,0,1,0
功能,胎温查询,1,1,0,0
功能,胎温监测,1,1,0,0
功能,自主变道辅助,1,1,0,0
功能,自动停车功能,1,1,0,0
功能,自动导航辅助,1,1,0,0
功能,自动泊车辅助系统,1,1,0,0
功能,自动辅助导航驾驶,1,1,0,0
功能,自适应巡航控制系统,1,1,0,0
功能,舒适制动模式,1,0,1,0
功能,行车视频限制模式,1,1,0,0
功能,语音消息播报,1,1,0,0
功能,超速监测,1,1,0,0
功能,超速警示音,1,1,0,0
功能,路口放大图,1,1,0,0
功能,路口放大图功能,1,1,0,0
功能,车内二氧化碳查询,1,1,0,0
功能,车内温度是多少度以上,1,1,0,0
功能,车内温度有多高,1,1,0,0
功能,车内空气质量怎么样,1,1,0,0
功能,车子油耗是多少,1,1,0,0
功能,车对负载放电,1,0,1,0
功能,车的油耗怎么样,1,1,0,0
功能,车的能耗怎么样,1,1,0,0
功能,车跑了多少里路,1,1,0,0
功能,车辆盲区预警监测,1,1,0,0
功能,车辆超速通知,1,0,1,0
功能,车速限制功能,1,1,0,0
功能,车道保持辅助,1,1,0,0
功能,车道偏离报警,1,1,0,0
功能,车道变更确认功能,1,1,0,0
功能,转向灯变道辅助,1,1,0,0
功能,轮胎压正常吗,1,1,0,0
功能,轮胎气压,1,1,0,0
功能,轮胎胎压正常吗,1,1,0,0
功能,轮胎胎温正常吗,1,1,0,0
功能,辅助驾驶,1,1,0,0
功能,辅助驾驶的语音模式,1,1,0,0
功能,近距离前向碰撞预警,1,1,0,0
功能,还有多少有电,1,1,0,0
功能,还能自动驾驶多远,1,1,0,0
功能,还要充多久的电,1,1,0,0
功能,连接了什么设备,1,1,0,0
功能,速报警,1,1,0,0
功能,道路标识识别,1,1,0,0
功能,遗留物品检测,1,1,0,0
功能,锁车声音,1,1,0,0
功能,限速信息提醒,1,1,0,0
功能,限速报警,1,1,0,0
功能,限速警告音,1,1,0,0
功能,预防座舱内过热保护,1,1,0,0
功能,预防性刹车,1,0,1,0
功能,风速,1,1,0,0
功能,马达启停,1,1,0,0
功能,高级驾驶辅助,1,1,0,0
子功能,LIMITER,1,1,0,0
子功能,中距离前向碰撞预警,1,1,0,0
子功能,主动巡航,1,0,1,0
子功能,交叉路口碰撞预警,1,1,0,0
子功能,交通指示灯提醒,1,1,0,0
子功能,交通提示灯,1,0,0,1
子功能,交通标志识别,1,1,0,0
子功能,侧边距离报警,1,1,0,0
子功能,保持在当前车道,1,0,0,1
子功能,偏离车道,1,1,0,0
子功能,偏离车道预警,1,1,0,0
子功能,儿童遗留监测,1,1,0,0
子功能,前向预碰撞辅助,1,1,0,0
子功能,前方横向碰撞,1,1,0,0
子功能,前方碰撞预警,1,1,0,0
子功能,前横穿侧向预警,1,1,0,0
子功能,前碰撞预警,1,1,0,0
